title,index
toy story,0
jumanji,1
grumpier old men,2
waiting to exhale,3
heat,4
sabrina,5
goldeneye,6
the american president,7
balto,8
nixon,9
casino,10
sense and sensibility,11
four rooms,12
ace ventura: when nature calls,13
get shorty,14
copycat,15
powder,16
leaving las vegas,17
othello,18
now and then,19
persuasion,20
the city of lost children,21
shanghai triad,22
dangerous minds,23
twelve monkeys,24
wings of courage,25
carrington,26
dead man walking,27
it takes two,28
clueless,29
"cry, the beloved country",30
richard iii,31
dead presidents,32
restoration,33
to die for,34
how to make an american quilt,35
se7en,36
pocahontas,37
the usual suspects,38
guardian angel,39
mighty aphrodite,40
lamerica,41
georgia,42
home for the holidays,43
the postman,44
the confessional,45
mr. holland's opus,46
don't be a menace to south central while drinking your juice in the hood,47
friday,48
from dusk till dawn,49
kicking and screaming,50
les miserables,51
screamers,52
nico icon,53
the crossing guard,54
the white balloon,55
things to do in denver when you're dead,56
antonia's line,57
angels and insects,58
white squall,59
nick of time,60
the journey of august king,61
beautiful girls,62
a midwinter's tale,63
la haine,64
heidi fleiss: hollywood madam,65
bottle rocket,66
happy gilmore,67
the bridges of madison county,68
muppet treasure island,69
catwalk,70
braveheart,71
taxi driver,72
rumble in the bronx,73
margaret's museum,74
happiness is in the field,75
anne frank remembered,76
the young poisoner's handbook,77
the boys of st. vincent,78
chungking express,79
the star maker,80
flirting with disaster,81
pie in the sky,82
from the journals of jean seberg,83
the neon bible,84
the birdcage,85
virgin mary,86
the brothers mcmullen,87
bad boys,88
the basketball diaries,89
amateur,90
apollo 13,91
rob roy,92
the addiction,93
belle de jour,94
beyond rangoon,95
blue in the face,96
clockers,97
crimson tide,98
crumb,99
desperado,100
devil in a blue dress,101
die hard: with a vengeance,102
hackers,103
jeffrey,104
kids,105
living in oblivion,106
love & human remains,107
mallrats,108
mute witness,109
the prophecy,110
reckless,111
safe,112
smoke,113
the stars fell on henrietta,114
strange days,115
the umbrellas of cherbourg,116
three wishes,117
total eclipse,118
