index, title
0,Toy Story
1,Jumanji
2,Grumpier Old Men
3,Waiting to Exhale
4,Heat
5,Sabrina
6,GoldenEye
7,The American President
8,Balto
9,Nixon
10,Casino
11,Sense and Sensibility
12,Four Rooms
13,Ace Ventura: When Nature Calls
14,Get Shorty
15,Copycat
16,Powder
17,Leaving Las Vegas
18,Othello
19,Now and Then
20,Persuasion
21,The City of Lost Children
22,Shanghai Triad
23,Dangerous Minds
24,Twelve Monkeys
25,Wings of Courage
26,Carrington
27,Dead Man Walking
28,It Takes Two
29,Clueless
30,"Cry, the Beloved Country"
31,Richard III
32,Dead Presidents
33,Restoration
34,To Die For
35,How To Make An American Quilt
36,Se7en
37,Pocahontas
38,The Usual Suspects
39,Guardian Angel
40,Mighty Aphrodite
41,Lamerica
42,Georgia
43,Home for the Holidays
44,The Postman
45,The Confessional
46,Mr. Holland's Opus
47,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
48,Friday
49,From Dusk Till Dawn
50,Kicking and Screaming
51,Les Miserables
52,Screamers
53,Nico Icon
54,The Crossing Guard
55,The White Balloon
56,Things to Do in Denver When You're Dead
57,Antonia's Line
58,Angels and Insects
59,White Squall
60,Nick of Time
61,The Journey of August King
62,Beautiful Girls
63,A Midwinter's Tale
64,La Haine
65,Heidi Fleiss: Hollywood Madam
66,Bottle Rocket
67,Happy Gilmore
68,The Bridges of Madison County
69,Muppet Treasure Island
70,Catwalk
71,Braveheart
72,Taxi Driver
73,Rumble in the Bronx
74,Margaret's Museum
75,Happiness Is in the Field
76,Anne Frank Remembered
77,The Young Poisoner's Handbook
78,The Boys of St. Vincent
79,Chungking Express
80,The Star Maker
81,Flirting with Disaster
82,Pie in the Sky
83,From the Journals of Jean Seberg
84,The Neon Bible
85,The Birdcage
86,Virgin Mary
87,The Brothers McMullen
88,Bad Boys
89,The Basketball Diaries
90,Amateur
91,Apollo 13
92,Rob Roy
93,The Addiction
94,Belle de Jour
95,Beyond Rangoon
96,Blue in the Face
97,Clockers
98,Crimson Tide
99,Crumb
100,Desperado
101,Devil in a Blue Dress
102,Die Hard: With a Vengeance
103,Hackers
104,Jeffrey
105,Kids
106,Living in Oblivion
107,Love & Human Remains
108,Mallrats
109,Mute Witness
110,The Prophecy
111,Reckless
112,Safe
113,Smoke
114,The Stars Fell on Henrietta
115,Strange Days
116,The Umbrellas of Cherbourg
117,Three Wishes
118,Total Eclipse
119,"To Wong Foo, Thanks for Everything! Julie Newmar"
120,Unstrung Heroes
121,A Walk in the Clouds
122,Burnt by the Sun
123,Before the Rain
124,Before Sunrise
125,Billy Madison
126,Boys on the Side
127,The Cure
128,Circle of Friends
129,Clerks
130,Don Juan DeMarco
131,Death and the Maiden
132,Dolores Claiborne
133,Dumb and Dumber
134,Eat Drink Man Woman
135,Exotica
136,Ed Wood
137,French Kiss
138,Forget Paris
139,A Goofy Movie
140,Fluke
141,Hoop Dreams
142,Heavenly Creatures
143,Immortal Beloved
144,Interview with the Vampire
145,Star Wars
146,Little Women
147,A Little Princess
148,Ladybird Ladybird
149,L'Enfer
150,Like Water for Chocolate
151,Legends of the Fall
152,Major Payne
153,Little Odessa
154,Losing Isaiah
155,The Madness of King George
156,Mary Shelley's Frankenstein
157,Miracle on 34th Street
158,My Family
159,Murder in the First
160,Nobody's Fool
161,Nell
162,New Jersey Drive
163,Nina Takes a Lover
164,Natural Born Killers
165,Only You
166,Once Were Warriors
167,Outbreak
168,Leon: The Professional
169,The Perez Family
170,A Pyromaniac's Love Story
171,Pulp Fiction
172,Panther
173,Pushing Hands
174,Priest
175,Quiz Show
176,Picture Bride
177,Queen Margot
178,The Quick and the Dead
179,Roommates
180,Three Colors: Red
181,Three Colors: Blue
182,Three Colors: White
183,"Red Firecracker, Green Firecracker"
184,The Swan Princess
185,The Secret of Roan Inish
186,Stargate
187,The Santa Clause
188,The Shawshank Redemption
189,Shallow Grave
190,Strawberry and Chocolate
191,Swimming with Sharks
192,To Live
193,Tales from the Crypt: Demon Knight
194,Star Trek: Generations
195,Tommy Boy
196,Vanya on 42nd Street
197,The Walking Dead
198,What's Eating Gilbert Grape
199,While You Were Sleeping
200,The War
201,Muriel's Wedding
202,Ace Ventura: Pet Detective
203,"The Adventures of Priscilla, Queen of the Desert"
204,Backbeat
205,Bitter Moon
206,Bullets Over Broadway
207,Clear and Present Danger
208,The Client
209,"Corrina, Corrina"
210,Crooklyn
211,The Crow
212,Cobb
213,Forrest Gump
214,Four Weddings and a Funeral
215,Higher Learning
216,I Like It Like That
